"date","open","high","low","close","volume","market_cap"
"2022-08-07","0.0686690709","0.0698993976","0.0677470548","0.0689401341","204862520","9146340283.00"
"2022-08-06","0.0697660715","0.0709990009","0.0685857649","0.0686743416","277979112","9111077389.00"
"2022-08-05","0.0673334929","0.0701171597","0.0672555678","0.0697646521","336216726","9255729717.00"
"2022-08-04","0.0661974724","0.0675022028","0.0660074027","0.0673567932","256457805","8936277229.00"
"2022-08-03","0.0666921993","0.0683199709","0.0655162439","0.0661953067","286819386","8782181926.00"
"2022-08-02","0.0687080242","0.0688955603","0.0658088663","0.0666935957","336642236","8848290322.00"
"2022-08-01","0.0682661922","0.0707212031","0.0671869636","0.0687252711","444088167","9117834246.00"
"2022-07-31","0.0696422617","0.0720276416","0.0680542614","0.0682722270","521194035","9057728540.00"
"2022-07-30","0.0689053622","0.0739098711","0.0681862303","0.0696436548","760571682","9239676912.00"
"2022-07-29","0.0691036787","0.0720042356","0.0675486219","0.0689091465","696887711","9142229129.00"
"2022-07-28","0.0670311266","0.0705773725","0.0655905100","0.0691081838","650983024","9168635568.00"
"2022-07-27","0.0625141167","0.0670205521","0.0618864497","0.0670205521","499204589","8891667873.00"
"2022-07-26","0.0623194657","0.0625120984","0.0604245484","0.0625120984","416488015","8293527878.00"
"2022-07-25","0.0677156196","0.0678799286","0.0623055414","0.0623055414","448572441","8266123804.00"
"2022-07-24","0.0681162022","0.0688544044","0.0675885815","0.0677243869","369141492","8985046175.00"
"2022-07-23","0.0675309104","0.0693322761","0.0662773896","0.0681237355","427922350","9038028051.00"
"2022-07-22","0.0699703838","0.0712704456","0.0670032826","0.0675632016","479456105","8963661597.00"
"2022-07-21","0.0701239342","0.0707324737","0.0672368328","0.0699598152","492434238","9281622159.00"
"2022-07-20","0.0690153375","0.0765738886","0.0679280857","0.0701197673","1019375521","9302843117.00"
"2022-07-19","0.0676899473","0.0698995298","0.0657516875","0.0690127224","552211167","9155970622.00"
"2022-07-18","0.0631142002","0.0686735661","0.0631142002","0.0677150158","564795958","8983802899.00"
"2022-07-17","0.0642881883","0.0653942993","0.0631010181","0.0631073200","249697026","8372496382.00"
"2022-07-16","0.0630369797","0.0647247272","0.0618698071","0.0642799230","279644299","8528066515.00"
"2022-07-15","0.0624003478","0.0642588385","0.0617471281","0.0630421249","374357844","8363846887.00"
"2022-07-14","0.0619325531","0.0626320142","0.0597407838","0.0623939476","348090509","8277852718.00"
"2022-07-13","0.0600850561","0.0620105735","0.0583977098","0.0619526291","446505399","8219302651.00"
"2022-07-12","0.0618506823","0.0628613281","0.0600868231","0.0600868231","298462082","7971764743.00"
"2022-07-11","0.0672684250","0.0672684250","0.0615346564","0.0618466673","326125899","8205244619.00"
"2022-07-10","0.0695089748","0.0695089748","0.0665330534","0.0672625542","299810124","8923774475.00"
"2022-07-09","0.0692238450","0.0700094129","0.0689950747","0.0695118928","254272147","9222195947.00"
"2022-07-08","0.0706180595","0.0730085443","0.0685407317","0.0692570052","444369732","9188379818.00"
"2022-07-07","0.0685788197","0.0711235169","0.0680531103","0.0706208370","402591742","9369320423.00"
"2022-07-06","0.0671716893","0.0690582236","0.0664478037","0.0685827510","398926503","9098925996.00"
"2022-07-05","0.0694310858","0.0698408276","0.0656968552","0.0671547983","403220687","8909478415.00"
"2022-07-04","0.0671743324","0.0696046246","0.0659268222","0.0694722850","379581122","9216941149.00"
"2022-07-03","0.0666981648","0.0673561980","0.0651108163","0.0671794421","280878240","8912747930.00"
"2022-07-02","0.0662051918","0.0676917834","0.0659330389","0.0666982506","352589827","8848907883.00"
"2022-07-01","0.0662084975","0.0678619280","0.0642244939","0.0661747602","472441457","8779456012.00"
"2022-06-30","0.0694812981","0.0695126810","0.0627462573","0.0660855817","566648029","8767624633.00"
"2022-06-29","0.0659963546","0.0713352511","0.0646346437","0.0694679074","592828738","9216360367.00"
"2022-06-28","0.0722211791","0.0729512593","0.0657227259","0.0659567275","534793982","8750529447.00"
"2022-06-27","0.0731540385","0.0783886541","0.0710177188","0.0722392724","962250060","9584039487.00"
"2022-06-26","0.0684877295","0.0769664916","0.0675039500","0.0731766781","883689354","9708405809.00"
"2022-06-25","0.0671099127","0.0691121088","0.0653842550","0.0685026436","432671863","9088298080.00"
"2022-06-24","0.0640187277","0.0681618989","0.0640043447","0.0671240805","514729443","8905403066.00"
"2022-06-23","0.0617026497","0.0646153490","0.0617026497","0.0640323566","434169751","8495221692.00"
"2022-06-22","0.0656064230","0.0657508153","0.0613892241","0.0617114532","633619298","8187305661.00"
"2022-06-21","0.0601749657","0.0693242454","0.0593150117","0.0655713728","1051899538","8699404142.00"
"2022-06-20","0.0603985213","0.0611570689","0.0577065623","0.0601767893","499018790","7983700626.00"
"2022-06-19","0.0530072912","0.0624720702","0.0513075222","0.0603956501","1166163984","8012737057.00"
"2022-06-18","0.0569786052","0.0577549425","0.0497197617","0.0530121595","652345943","7033163720.00"
"2022-06-17","0.0550468342","0.0579112658","0.0548982849","0.0569947082","383830483","7561531503.00"
"2022-06-16","0.0629771443","0.0629771443","0.0545080738","0.0550290536","724479687","7300746597.00"
"2022-06-15","0.0555769126","0.0634716722","0.0506698101","0.0630000888","1122284662","8358269936.00"
"2022-06-14","0.0539409775","0.0581543301","0.0502668546","0.0555917492","908921329","7375399855.00"
"2022-06-13","0.0642750107","0.0657016614","0.0530017460","0.0539209346","1465281537","7153731599.00"
"2022-06-12","0.0699191228","0.0703452732","0.0638611572","0.0643361965","708156957","8535532362.00"
"2022-06-11","0.0754722960","0.0763989464","0.0685958925","0.0698953001","497184012","9273062891.00"
"2022-06-10","0.0793354787","0.0795207684","0.0748037835","0.0754537694","431520761","10010509251.00"
"2022-06-09","0.0794363480","0.0808979725","0.0790815447","0.0793364824","274673851","10525631751.00"
"2022-06-08","0.0804923255","0.0814202737","0.0791562061","0.0794393294","328046388","10539276547.00"
"2022-06-07","0.0825302453","0.0825302453","0.0783318531","0.0805131872","509642724","10681746082.00"
"2022-06-06","0.0812251876","0.0845590293","0.0811260127","0.0825295519","503707292","10949258722.00"
"2022-06-05","0.0817756814","0.0821380550","0.0808360486","0.0812289283","282624183","10776704002.00"
"2022-06-04","0.0804539974","0.0823365485","0.0797269522","0.0817774324","350329772","10849474464.00"
"2022-06-03","0.0827768271","0.0828573152","0.0797559057","0.0804421672","403339247","10672323806.00"
"2022-06-02","0.0810520323","0.0830072323","0.0804167492","0.0827721652","434510606","10981446414.00"
"2022-06-01","0.0858553204","0.0886471911","0.0798069908","0.0810561381","830748610","10753779788.00"
"2022-05-31","0.0878654623","0.0882298881","0.0836124813","0.0858646316","672444587","11391726302.00"
"2022-05-30","0.0826841158","0.0882745696","0.0822685968","0.0878705696","690696755","11657855630.00"
"2022-05-29","0.0818377610","0.0830336566","0.0802991499","0.0826855632","394962471","10969956872.00"
